id,name,original_class,family_role,base_role,placement_medium,range,range_scope,damage,pierce,interval_seconds,description,stats_source_url,cost_source_url
dart_monkey,Dart Monkey,Primary,basic_dps,basic_dps,200,32,local,1,2,0.95,"Throws inexpensive piercing darts. Its paths specialize in bouncing projectiles, temporary transformations, and long-range critical hits.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
boomerang_monkey,Boomerang Monkey,Primary,splash,basic_dps,315,43,local,1,4,1.2,"Throws returning projectiles that can hit several targets. Later paths favor ricochets, fast attacks, or MOAB-class knockback.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
bomb_shooter,Bomb Shooter,Primary,splash,splash,375,40,local,1,22,1.5,"Launches bombs that damage groups. Upgrades add stuns, anti-MOAB missiles, or repeated cluster explosions.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
tack_shooter,Tack Shooter,Primary,rapid_fire,splash,260,23,local,1,1,1.12,"Fires radial volleys around its position. Paths add circular fire, activated blade barrages, or much denser tack fire.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
ice_monkey,Ice Monkey,Primary,status,status,400,20,local,1,40,2.4,"Damages and freezes nearby ordinary Bloons. Upgrades add damage vulnerability, wider control, or anti-MOAB ice attacks.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/IceMonkey/IceMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
glue_gunner,Glue Gunner,Primary,slow,slow,225,46,local,0,1,1.0,"Shoots non-damaging slowing glue at base. Its paths add corrosion, global damage-amplifying glue, or stronger crowd control.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/GlueGunner/GlueGunner.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
desperado,Desperado,Primary,sniper,basic_dps,300,60,local,1,1,1.2,"Fires paired pistol shots. Upgrades specialize in revolvers, a long-range rifle with support abilities, or close-range shotgun attacks.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Desperado/Desperado.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
sniper_monkey,Sniper Monkey,Military,sniper,sniper,350,,global_line_of_sight,2,1,1.59,"Shoots individual targets across the map when line of sight permits. Paths add MOAB control, bouncing shots and income, or automatic fire.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SniperMonkey/SniperMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
monkey_sub,Monkey Sub,Military,basic_dps,basic_dps,325,42,local,1,2,0.75,"Fires homing darts from water. Upgrades add shared targeting range, submerged support, missiles, or faster dart attacks.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeySub/MonkeySub.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
monkey_buccaneer,Monkey Buccaneer,Military,basic_dps,basic_dps,400,60,local,1,4,,"Fires from a ship. Its paths add aircraft, cannon and harpoon attacks, or round-end trade income.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyBuccaneer/MonkeyBuccaneer.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
monkey_ace,Monkey Ace,Military,rapid_fire,splash,800,22,moving_aircraft_pattern,1,5,1.68,"A plane follows a flight pattern and fires darts around itself. Paths add anti-MOAB weapons, bombs, or targeted high-volume fire.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyAce/MonkeyAce.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
heli_pilot,Heli Pilot,Military,rapid_fire,basic_dps,1500,42,moving_aircraft_local_attack,1,3,0.57,"A movable helicopter attacks near its current position. Paths add heavy weapons, transport and knockback, or supporting helicopters.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/HeliPilot/HeliPilot.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
mortar_monkey,Mortar Monkey,Military,splash,splash,600,,global_selected_ground_point,2,25,2.0,"Bombards a selected map position with area explosions. Paths add larger blasts, stuns and rapid bombardment, or property removal and burning.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MortarMonkey/MortarMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
dartling_gunner,Dartling Gunner,Military,rapid_fire,rapid_fire,850,,aimed_direction_projectile_lifetime_limited,1,1,0.2,"Fires continuously along a selected direction. Paths replace darts with beams, missiles, or multi-barrel buckshot.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartlingGunner/DartlingGunner.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
wizard_monkey,Wizard Monkey,Magic,splash,basic_dps,250,40,local,1,3,1.1,"Fires magic projectiles. Paths add strong arcane attacks, fire and a Phoenix, or Camo removal and summoned Bloons.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/WizardMonkey/WizardMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
super_monkey,Super Monkey,Magic,rapid_fire,rapid_fire,2500,50,local,1,1,0.045,"Fires darts at a very high rate. Paths add sacrifice-powered sun attacks, dual guns and an area ability, or dark attacks and teleportation.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SuperMonkey/SuperMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
