tower,unlock_code,name,trigger,cooldown_seconds,effect,model_reference_url
Dart Monkey,040,Super Monkey Fan Club,activated,50,Temporarily transforms eligible nearby Dart Monkeys into rapid-attacking forms.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-040.json
Dart Monkey,050,Plasma Monkey Fan Club,activated,50,Replaces the Fan Club transformation with stronger plasma forms.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-050.json
Boomerang Monkey,040,Turbo Charge,activated,45,Temporarily increases attack speed.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-040.json
Boomerang Monkey,050,Perma Charge,activated,,Adds a temporary damage boost to its permanently fast attacks.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-050.json
Bomb Shooter,040,MOAB Assassin,activated,,Launches a high-damage missile at a MOAB-class target.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-040.json
Bomb Shooter,050,MOAB Eliminator,activated,,Upgrades the missile ability and reduces its cooldown.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-050.json
Bomb Shooter,005,Bomb Storm,automatic_emergency,,Triggers a broad emergency attack when the life-loss condition is met.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-005.json
Tack Shooter,040,Blade Maelstrom,activated,,Emits a rotating barrage of blades around the tower.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-040.json
Tack Shooter,050,Super Maelstrom,activated,,"Emits a stronger, longer blade barrage.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-050.json
Ice Monkey,040,Snowstorm,activated,,Freezes ordinary Bloons across the map and slows eligible MOAB-class targets.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/IceMonkey/IceMonkey-040.json
Ice Monkey,050,Absolute Zero,activated,,Strengthens the global freeze and grants Ice Monkey support effects.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/IceMonkey/IceMonkey-050.json
Glue Gunner,040,Glue Strike,activated,,Applies global glue with Lead-immunity removal and increased damage taken.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/GlueGunner/GlueGunner-040.json
Glue Gunner,050,Glue Storm,activated,,Repeatedly applies the global glue effect over a duration.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/GlueGunner/GlueGunner-050.json
Desperado,030,Take Aim,activated_targeted_support,30,"Temporarily grants a selected tower more range, better accuracy, and Camo detection.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Desperado/Desperado-030.json
Desperado,040,Marked to Pop,activated_targeted_debuff,45,Marks a target to take extra Desperado damage and yield additional pop cash. The inspected model has a 2x Desperado-damage multiplier and a 2x pop-cash multiplier.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Desperado/Desperado-040.json
Desperado,002,Nomad life-loss response,automatic_emergency,,Can trigger temporary combat bonuses and cash recovery when lives are lost.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Desperado/Desperado-002.json
Desperado,004,Avenger protection,automatic_emergency,,Adds temporary protection against life loss under its trigger conditions.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Desperado/Desperado-004.json
Sniper Monkey,040,Supply Drop,activated,,Drops a collectible cash crate.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SniperMonkey/SniperMonkey-040.json
Sniper Monkey,050,Elite Supply Drop,activated,,Improves the cash crate ability; this is a descriptive label for the upgraded Supply Drop.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SniperMonkey/SniperMonkey-050.json
Sniper Monkey,005,Elite Defender retaliation,automatic_emergency,,Temporarily increases attack speed when lives are lost.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SniperMonkey/SniperMonkey-005.json
Monkey Sub,300,Submerge,mode_switch,,Stops normal dart attacks and activates the submerged support behavior.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeySub/MonkeySub-300.json
Monkey Sub,040,First Strike Capability,activated,,Launches a high-damage missile at the strongest target with an area explosion.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeySub/MonkeySub-040.json
Monkey Sub,050,Pre-emptive missiles,automatic_on_entry,,Automatically attacks newly entering MOAB-class targets; the activated missile remains available.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeySub/MonkeySub-050.json
Monkey Buccaneer,040,MOAB Takedown,activated,,Harpoons an eligible MOAB-class target and removes it.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyBuccaneer/MonkeyBuccaneer-040.json
Monkey Buccaneer,050,Pirate Lord takedown,activated,,Upgrades the harpoon ability to capture multiple eligible targets and increases capture income.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyBuccaneer/MonkeyBuccaneer-050.json
Monkey Ace,040,Ground Zero,activated,,Detonates a map-wide bomb.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyAce/MonkeyAce-040.json
Monkey Ace,050,Tsar Bomba,activated,,Detonates a stronger map-wide bomb with control effects.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyAce/MonkeyAce-050.json
Heli Pilot,040,Supply Drop,activated,,Delivers cash and lives by helicopter.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/HeliPilot/HeliPilot-040.json
Heli Pilot,040,Redeploy,activated_targeted_relocation,,Moves an eligible placed tower to a new legal position.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/HeliPilot/HeliPilot-040.json
Heli Pilot,050,Deploy Marine,activated,,Temporarily deploys a powerful Monkey Marine.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/HeliPilot/HeliPilot-050.json
Heli Pilot,004,Comanche reinforcements,automatic_conditional,,Calls temporary supporting helicopters when its pressure conditions are met.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/HeliPilot/HeliPilot-004.json
Mortar Monkey,040,Bombardment,activated,,Temporarily increases the Artillery Battery's firing rate.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MortarMonkey/MortarMonkey-040.json
Mortar Monkey,050,Pop and Awe,activated,,Applies map-wide damage and stuns to eligible targets.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MortarMonkey/MortarMonkey-050.json
Dartling Gunner,040,Rocket Storm,activated,,Fires a temporary guided rocket barrage.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartlingGunner/DartlingGunner-040.json
Dartling Gunner,050,M.A.D Rocket Storm,activated,,Retains an upgraded missile-barrage ability; the label identifies the M.A.D variant.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartlingGunner/DartlingGunner-050.json
Wizard Monkey,040,Summon Phoenix,activated,,Summons a temporary attacking Phoenix.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/WizardMonkey/WizardMonkey-040.json
Wizard Monkey,050,Wizard Lord Phoenix,activated,,Activates a stronger Phoenix form and fire attacks.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/WizardMonkey/WizardMonkey-050.json
Super Monkey,040,Annihilation,activated,,Deals a large burst of damage around the tower.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SuperMonkey/SuperMonkey-040.json
Super Monkey,050,Anti-Bloon Annihilation,activated,,Upgrades the area-damage ability; the label distinguishes the tier-five form.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SuperMonkey/SuperMonkey-050.json
Super Monkey,003,Darkshift,activated_targeted_relocation,,Teleports the tower to a nearby legal position.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SuperMonkey/SuperMonkey-003.json
Super Monkey,004,"Darkshift, global",activated_targeted_relocation,,Extends teleport placement to the map.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SuperMonkey/SuperMonkey-004.json
Super Monkey,005,Legend of the Night black hole,automatic_emergency,,Temporarily absorbs leaking enemies when its emergency condition activates.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SuperMonkey/SuperMonkey-005.json
