id,tower,code,path,tier,upgrade,medium_increment,medium_bare_path_total,cost_kind,historical_wiki_xp,role,effect,cost_source_url,effect_source_url,model_reference_url
dart_monkey_100,Dart Monkey,100,top,1,Sharp Shots,140,340,fixed_upgrade_price,100,basic_dps,Adds one pierce.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-100.json
dart_monkey_200,Dart Monkey,200,top,2,Razor Sharp Shots,200,540,fixed_upgrade_price,500,basic_dps,Adds two more pierce.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-200.json
dart_monkey_300,Dart Monkey,300,top,3,Spike-o-pult,320,860,fixed_upgrade_price,2100,splash,"Replaces darts with slower, high-pierce balls that rebound from walls.",https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-300.json
dart_monkey_400,Dart Monkey,400,top,4,Juggernaut,1800,2660,fixed_upgrade_price,7500,splash,Bouncing balls damage Lead and gain bonuses against Ceramic and Fortified targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-400.json
dart_monkey_500,Dart Monkey,500,top,5,Ultra-Juggernaut,15000,17660,fixed_upgrade_price,22000,splash,Large balls release two sets of six smaller Juggernaut balls.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-500.json
dart_monkey_010,Dart Monkey,010,middle,1,Quick Shots,100,300,fixed_upgrade_price,80,basic_dps,Reduces the interval between attacks.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-010.json
dart_monkey_020,Dart Monkey,020,middle,2,Very Quick Shots,190,490,fixed_upgrade_price,400,basic_dps,Further reduces the attack interval.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-020.json
dart_monkey_030,Dart Monkey,030,middle,3,Triple Shot,450,940,fixed_upgrade_price,2000,basic_dps,Throws three darts per attack.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-030.json
dart_monkey_040,Dart Monkey,040,middle,4,Super Monkey Fan Club,7200,8140,fixed_upgrade_price,9500,support,Temporarily transforms up to ten nearby Dart Monkeys; also improves regular attack speed.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-040.json
dart_monkey_050,Dart Monkey,050,middle,5,Plasma Monkey Fan Club,45000,53140,fixed_upgrade_price,30000,support,Upgrades the temporary Dart Monkey transformation to plasma attacks.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-050.json
